,ID_tassonomia_1,ID_tassonomia_2,Frequenza,titoli_1_list,titoli_2_list
564,113,127,2,"['progetti di integrazione e sostegno ai tempi famigliari servizio di mensa', 'variazione del calendario di apertura del servizio di nido dinfanzia comunale']","['variazione calendario di apertura servizio nido', 'progetti di integrazione e sostegno ai tempi familiari uffici comunali']"
304,56,196,2,"['progetto orto per la scuola dell infanzia', 'educazione ambientale nelle scuole']","['educazione ambientale nelle scuole', 'letture e laboratori per la scuola dell infanzia']"
307,57,56,2,['ambiente qualit della vita sicurezza infrastrutture family'],['ambiente qualit della vita sicurezza infrastrutture family']
634,196,55,2,"['spazio gioco', 'progetto scuola e sport']","['spazio gioco', 'progetto scuola e sport']"
557,113,70,2,['eventi estivi'],['eventi estivi']
555,113,65,2,"['attivit ludico ricreative per bambini e genitori', 'progetto family park']","['attivit ludico ricreative per bambini e genitori', 'progetto family park']"
323,58,73,2,['progetto intervento'],['progetto movimento']
76,16,12,2,['consulte frazionali'],['consulte frazionali']
548,113,3,2,"['promuovere e sostenere le famiglie con i figli attraverso servizi', 'promuovere e sostenere le famiglie con figli attraverso servizi']",['promuovere e sostenere le famiglie con figli attraverso servizi']
338,62,61,2,['servizio civile universale'],['servizio civile universale']
340,62,65,2,"['comunit educante', 'festa della cittadinanza']","['comunit educante', 'festa della cittadinanza']"
545,110,131,2,"['migliorie nella nuova sede per il gruppo anziani', 'migliorie nella nuova sede del gruppo anziani']",['migliorie nella nuova sede per il gruppo anziani']
342,62,90,2,['tavolo di solidariet'],['tavolo di solidariet']
568,114,73,2,['a'],['a']
489,90,92,2,['sportello caritas'],['sportello caritas']
287,56,28,2,['servizio skibus gratuito per i residenti'],['servizio skibus gratuito per i residenti']
271,54,95,2,['sportello antiviolenza'],['sportelli antiviolenza']
276,54,113,2,"['sostegno al progetto accogli amo', 'progetto we care la comunita che si prende cura delle famiglie comunita di valle e comuni della valle dei laghi']","['sostegno al progetto aiuto compiti', 'progetto we care la comunita che si prende cura delle famiglie comunita di valle e comuni della valle dei laghi']"
91,17,9,2,['documento di verifica'],['documento di verifica']
626,135,117,2,"['sviluppo politiche sportive', 'mappatura passeggiate e sentieri family']","['mappatura passeggiate e sentieri family e opuscolo eventi estivi', 'sviluppo delle politiche sportive bicigrill']"
570,114,116,2,['baby pit stop'],['baby pit stop']
279,55,9,2,['eventi formativi in ambito sanitario'],['eventi formativi in ambito sanitario']
627,135,131,2,"['convenzione per la gestione di manufatti rurali', 'percorsi a misura di famiglia']","['convenzioni per la gestione di manufatti rurali', 'spazi sicuri e a misura di famiglia']"
280,55,62,2,['attivit rivolte al benessere individuale e collettivo'],['promozione attivit rivolte al benessere individuale e collettivo']
587,117,135,1,['sentieristica del parco alla pineta'],['sentieristica del parco alla pineta']
603,131,29,1,['nuova sede del circolo anziani e pensionati di mezzocorona'],['nuova sede del circolo anziani e pensionati']
498,92,70,1,['gemellaggio'],['gemellaggio daun']
553,113,55,1,['attivit motoria per bambini nel periodo estivo'],['attivit motoria per bambini nel periodo estivo']
581,117,55,1,['spazio gioco'],['spazio gioco']
499,92,75,1,['progetto di promozione sociale della partecipazione e dell inclusione'],['progetto di promozione sociale della partecipazione e dell inclusione']
524,109,64,1,['f'],['f']
533,110,78,1,['centro diurno per anziani'],['attivit centro diurno per anziani']
532,110,70,1,['palazzo aperti'],['palazzi aperti']
638,196,60,1,['progetto insegnante madrelingua'],['insegnante madrelingua']
617,131,135,1,['sviluppo politiche sportive area skil trail'],['sviluppo politiche sportive']
497,92,65,1,['iniziativa fame di bont'],['iniziativa fame di bont']
614,131,116,1,['area cultura sport e qualit della vita nuove sedi'],['area cultura sport e qualit della vita']
552,113,52,1,['progetto imparare a studiare con la biblioteca'],['progetto imparare a studiare con la biblioteca']
551,113,46,1,['programmazione attivit estive'],['promozione attivit estive']
550,113,28,1,['progetto nuoto'],['progetto nuoto']
