,ID_tassonomia_1,ID_tassonomia_2,Frequenza,titoli_1_list,titoli_2_list
419,68,92,7,"['corsi di lingua e cultura italiana', 'corsi di educazione degli adulti', 'gemellaggio con il burundi', 'progetto il mondo in una favola', 'incontri in biblioteca per genitori e insegnanti', 'attivit di educazione degli adulti']","['corsi di lingua e cultura italiana per stranieri', 'corsi di educazione degli adulti', 'gemellaggio con il burundi', 'incontri in biblioteca rivolti a insegnanti e genitori', 'progetto il mondo in una favola']"
405,68,54,7,"['azioni di sensibilizzazione su tematiche di rilevanza sociale', 'presentazione libro', 'giornata della memoria', 'eventi', 'formazione']","['presentazione libro', 'giornata della memoria', 'eventi', 'formazione', 'azioni di sensibilizzazione su vari temi di rilevanza sociale']"
560,113,108,7,"['micronido nei mesi estivi', 'interventi a sostegno della conciliazione dei tempi']","['micronido nei mesi estivi', 'interventi a sostegno della conciliazione dei tempi']"
84,16,62,7,"['caff con il sindaco', 'la giunta incontra i cittadini', 'consiglio comunale dei giovani di novella', 'iniziativa la giunta incontra i cittadini']","['caff con il sindaco', 'consiglio comunale dei giovani di novella', 'iniziativa la giunta incontra i cittadini']"
381,65,73,7,"['eventi ricreativi', 'giochi d estate', 'festival dello sport e festa della famiglia', 'giochi d estate in val di sole']","['eventi sportivi', 'giochi d estate', 'festival dello sport e festa della famiglia', 'giochi d estate in val di sole']"
70,11,196,7,"['prima le persone', 'piano giovani di zona', 'piano giovani e comunicazione', 'sostenere ed incoraggiare le relazioni di prossimit l aiuto reciproco e la cittadinanza attiva', 'piano giovani']","['sostenere ed incoraggiare le relazioni di prossimit l aiuto reciproco e la cittadinanza attiva', 'piano giovani di zona', 'piano giovani e comunicazione', 'prima le persone']"
275,54,110,7,"['famiglie in rete', 'progetto comunita intorno alla fragilita', 'progetto comunicativo genitori figli', 'famiglia km', 'sostegno all auto organizzazione delle famiglie momenti di formazione']","['famiglie in rete', 'sostegno all auto organizzazione delle famiglie', 'progetto comunicativo genitori figli', 'famiglie a km', 'progetto comunita attorno alla fragilita']"
645,196,68,7,"['programma culturale', 'attivit culturali e ricreative per bambini e ragazzi dai ai anni', 'attivita culturali e ricreative per bambini e ragazzi dai ai anni', 'attivit organizzate dagli assessorati comunali sport e turismo cultura e istruzione politiche sociali e prima infanzia', 'l arte va a scuola', 'servizi della biblioteca alla comunit iniziative per la scuola', 'servizi della biblioteca comunale alla comunit per i bimbi']","['programma culturale', 'servizi della biblioteca alla comunit area bimbi', 'attivit culturali e ricreative per bambini dai ai anni', 'progetto l arte va a scuola', 'attivit organizzate dagli assessorati comunali sport e turismo cultura e istruzione politiche sociali e prima infanzia', 'servizi della biblioteca alla comunit per la scuola']"
389,66,57,6,"['percorsi informativi progetto percorso geologico', 'trenino per l estate', 'percorsi informativi progetto percorsi storico culturale', 'percorsi informativi progetto percorso storico culturale']","['trenino per l estate', 'percorsi informativi progetto percorsi storico culturale']"
129,26,30,6,"['area interventi economici politiche tariffarie centri estivi', 'tariffe nido d infanzia', 'tariffe nido di infanzia', 'tariffe nido dinfanzia']","['tariffe nido d infanzia', 'area interventi economici politiche tariffarie baby card']"
378,65,62,6,"['pompiere per un giorno', 'sviluppo e promozione iniziative volte all impegno civico']","['pompiere per un giorno', 'sviluppo e promozione iniziative volte all impegno civico']"
443,73,28,6,"['festa dello sport', 'sciovia coste di bolbeno', 'progetto vaucher sportivo', 'naturalmente sport']","['festa dello sport', 'sciovia coste di bolbeno', 'vaucher sportivo', 'naturalmente sport']"
150,28,55,6,"['adesione progetto voucher sportivo per le famiglie', 'adesione all agenzia per lo sport vallagarina', 'promozione sport tempo libero e salute', 'adesione allagenzia per lo sport vallagarina']","['progetto voucher sportivo per le famiglie', 'adesione all agenzia per lo sport vallagarina', 'promozione sport tempo libero e salute']"
396,66,131,6,"['isolotto dell arboreto', 'sistemazione strada per s biagio colle delle benne con posa pannelli steccati e gruppi tavolo panca', 'bike park', 'percorso bas diversamente abili']","['isolotto dell arboreto', 'percorso bas diversamente abili', 'sistemazione della strada per s biagio colle delle benne con posa pannelli posa steccati e gruppi tavolo panca', 'bike park']"
453,73,131,6,"['sviluppo e promozione politiche sportive', 'campo da calcetto a pracorno', 'sviluppo e promozione politichie sportive', 'sviluppo e promozioni politiche sportive']","['campo da calcetto a pracorno', 'sviluppo e promozione politiche sportive']"
57,9,116,6,"['biblioteche', 'biblioteca']",['biblioteche']
171,29,30,6,['associazioni'],['associazioni']
4,1,9,6,"['promozione delle politiche familiari', 'promozione iniziative family', 'promozione di iniziative a sostegno dell economia familiare', 'gli standard family', 'promozione delle attivit family', 'standard family']","['promozione delle politiche familiari', 'promozione di iniziative di sostegno alleconomia familiare', 'promozione attivit del distretto family', 'promozione family', 'standard family']"
454,73,196,6,"['interventi e servizi di carattere didattico educativo e formativo sviluppo e promozione di politiche sportive comunali', 'promozione dellattivit motoria', 'progetto scuola e sport']","['interventi e servizi di carattere didattico educativo e formativo sviluppo e promozione di politiche sportive comunali', 'progetto scuola e sport', 'promozione dellattivit musicale']"
168,29,26,6,"['soggiorno diurno estivo', 'collaborazione con listituto comprensivo val rendena', 'collaborazione con l istituto comprensivo val rendena', 'contributo economico per la scuola per linfanzia', 'laboratori creativi azioni', 'prosecuzione collaborazione con la pro loco di massimeno']","['laboratori creativi', 'soggiorno diurno estivo', 'prosecuzione collaborazione con l istituto comprensivo val rendena', 'contributo economico per la scuola per l infanzia', 'prosecuzione collaborazione con la pro loco di massimeno']"
365,64,82,6,"['compartecipazione agli interventi di promozione sociale famiglia', 'compartecipazione agli interventi di promozione sociale familglia', 'diversamente abili']","['compartecipazione ai progetti di promozione sociale disabilit', 'diversamente abili']"
641,196,64,6,"['servizi alle famiglie con figli da a anni scuola elementare attivita straordinarie', 'adesione ad un piano giovani di zona', 'scuole materne equiparate', 'tavolo giovani', 'animazione estiva']","['servizi alle famiglie con figli anni scuola elementare attivit straordinarie', 'adesione ad un piano giovani di zona', 'scuole materne equiparate', 'tavolo giovani', 'animazione estiva']"
393,66,70,6,"['passeggiata family in arboreto', 'colonnine ricarica e bike', 'progetto passeggiate a misura di famiglia', 'passeggiate in famiglia', 'conoscere la natura passeggiando', 'oasi faunistica']","['passeggiata family in arboreto', 'colonnine ricarica e bike', 'passeggiate a misura di famiglia', 'sentieristica family conoscere la natura passeggiando', 'oasi faunistica']"
42,9,8,6,"['comunicazione con i cittadini', 'cominicazione con i cittadini', 'sistema family in trentino distretto famiglia', 'promozione attivit del distretto famiglia']","['comunicazione con i cittadini sistema family', 'sistema family in trentino distretto famiglia', 'promozione attivit del distretto famiglia']"
356,64,26,6,"['l ancora spazio aperto', 'centri estivi', 'laboratori creativi']","['l ancora spazio aperto', 'centri estivi', 'laboratori creativi']"
227,46,54,6,"['attivit di informazione al cittadini', 'informazione sui corsi di educazione alla nascita e alla genitorialit', 'corsi di formazione', 'informazione ai cittadini', 'attivit di informazione ai cittadini']","['attivita di formazione', 'corsi di educazione alla nascita e genitorialita', 'corsi di formazione']"
221,46,8,6,"['strumenti di raccolta del livello di gradimento delle famiglie', 'materiale promozionale informativo family', 'promozione delle iniziative family web tv', 'materiale informativo family']","['materiale promozionale informativo family', 'promozione delle iniziative family web tv', 'strumenti per la raccolta del livello di gradimento delle famiglie']"
339,62,63,6,"['sostegno alla legalit', 'formazione e informazione progetto cittadini si nasce o si diventa', 'la costituzione dei ragazzi', 'cittadini si nasce o si diventa', 'attivit per l impegno civico dei giovani']","['la costituzione dei ragazzi', 'sostegno alla legalit', 'progetto cittadini si nasce o si diventa', 'impegno civico dei giovani']"
332,58,196,6,"['sostenere ed incoraggiare le relazioni di prossimit l aiuto reciproco e la cittadinanza attiva', 'stage studenti', 'tirocini formativi e alternanza scuola lavoro']","['sostenere ed incoraggiare le relazioni di prossimit l aiuto reciproco e la cittadinanza attiva', 'stage studenti', 'tirocini formativi e alternanza scuola lavoro']"
432,70,56,6,"['mobilita elettrica', 'organizzazione di eventi', 'fondazione museo civico', 'ambiente e qualit della vita turismo familiare']","['mobilita elettrica', 'organizzazione di eventi', 'ambiente e qualit della vita festivalatte', 'fondazione museo civico']"
16,3,8,6,"['organizzazione convention comuni amici della famiglia', 'partecipazione momenti informativi formativi sulle tematiche familiari', 'distretto famiglia val di non', 'partecipazione al distretto family']","['organizzazione convention comuni amici della famiglia', 'distretto famiglia della val di non', 'partecipazione eventi family', 'partecipazione momenti informativi formativi sule tematiche familiari']"
316,58,62,6,"['stage estivi', 'diventare animatori', 'stages lavorativi per studenti', 'servizio civile', 'servizio civile universale provinciale scup']","['servizio civile unico provinciale scup', 'stage estivi', 'stage lavorativi per studenti', 'progetto diventare animatori', 'servizio civile']"
315,58,28,6,"['sviluppo sostegno promozione attivit lavorative studeni', 'sostegno sviluppo promozione attivit lavorative studenti', 'sviluppo sostegno promozione attivit lavorative studenti', 'sviluppo sostegno promozione attivit lavorative e studenti']",['sviluppo sostegno promozione attivit lavorative studenti']
423,68,113,6,"['attivit per bambini e ragazzi', 'servizi alle famiglie progetto nati per leggere', 'progetto musica nelle scuole']","['attivit estiva per bambini e ragazzi', 'servizi alle famiglie progetto insegnante madrelingua', 'progetto musica nelle scuole']"
296,56,70,6,"['ambiente natura', 'mobilit elettrica', 'festa della transumanza', 'festival orme']","['festival orme', 'mobili elettrica', 'ambiente e natura', 'festa della transumanza']"
