,ID_tassonomia,codice_macro,descrizione_codice_macro,numero_codice_campo,descrizione_codice_campo,Frequenza della combinazione nell'intero dataset,Numero di organizzazioni che ne hanno fatto uso nel dataset
109,11630819,E,Welfare territoriale e sostenibilitа,10.0,Eventi e attivitа per le famiglie,56,19
108,11630794,D,Comunitа educante,7.0,Ascolto,57,16
107,11630720,A,Governance e azioni di rete,1.0,Promozione e supporto certificazioni family,59,15
106,11630782,D,Comunitа educante,7.0,Ascolto,60,11
104,11630806,E,Welfare territoriale e sostenibilitа,9.0,Progetti per protagonismo dei giovani,64,18
105,11630744,A,Governance e azioni di rete,3.0,Progettazione e monitoraggio,64,12
103,11630805,E,Welfare territoriale e sostenibilitа,9.0,Progetti per protagonismo dei giovani,65,13
101,11630721,A,Governance e azioni di rete,1.0,Promozione e supporto certificazioni family,67,12
102,11630736,B,Misure economiche,5.0,Benefit e scontistica,67,12
100,11630740,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа,70,21
99,11630803,D,Comunitа educante,8.0,Formazione,72,21
98,11630719,A,Governance e azioni di rete,1.0,Promozione e supporto certificazioni family,73,16
97,11630760,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа,75,15
96,11630722,A,Governance e azioni di rete,1.0,Promozione e supporto certificazioni family,76,24
95,11630771,D,Comunitа educante,8.0,Formazione,76,12
94,11630762,A,Governance e azioni di rete,2.0,Azioni di rete e sussidiarietа,76,16
93,11630798,D,Comunitа educante,8.0,Formazione,77,18
92,11630711,A,Governance e azioni di rete,1.0,Promozione e supporto certificazioni family,83,24
91,11630779,D,Comunitа educante,7.0,Ascolto,83,24
90,11630729,A,Governance e azioni di rete,1.0,Promozione e supporto certificazioni family,87,17
